user_id,anime_id,anime_name,predicted_score,is_held_out
326,889,Black Lagoon,0.9751555,True
326,10294,Towa no Quon 1: Utakata no Kaben,0.9486848,True
326,5081,Bakemonogatari,0.939345,True
326,5682,Phantom: Requiem for the Phantom,0.9215588,True
326,14345,Btooom!,0.90668243,True
326,22729,Aldnoah.Zero,0.89486635,False
326,7724,Shiki,0.8936684,True
326,27631,God Eater,0.8627877,False
326,2216,Shigurui,0.8618941,False
326,6211,Tokyo Magnitude 8.0,0.860291,False
346,28171,Shokugeki no Souma,0.96379495,True
346,10087,Fate/Zero,0.9601885,True
346,15809,Hataraku Maou-sama!,0.95295084,True
346,19815,No Game No Life,0.9502214,True
346,22729,Aldnoah.Zero,0.94964314,True
346,15793,Senki Zesshou Symphogear G,0.93256885,False
346,16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,0.9239726,False
346,31240,Re:Zero kara Hajimeru Isekai Seikatsu,0.9189285,True
346,11751,Senki Zesshou Symphogear,0.90538317,False
346,15863,Ginga Kikoutai Majestic Prince,0.8901444,False
446,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,0.96142125,True
446,4181,Clannad: After Story,0.9521768,True
446,12445,Tasogare Otome x Amnesia,0.9486357,False
446,9379,Denpa Onna to Seishun Otoko,0.9477052,True
446,7817,B-gata H-kei,0.93215144,True
446,10162,Usagi Drop,0.92946464,False
446,11499,Sankarea,0.925257,False
446,5205,Kara no Kyoukai 7: Satsujin Kousatsu (Go),0.92282605,True
446,6203,Sasameki Koto,0.9216815,True
446,9181,Motto To LOVE-Ru,0.9193387,False
478,5300,Zoku Natsume Yuujinchou,0.9775727,True
478,17909,Uchouten Kazoku,0.92644954,False
478,9981,Phi Brain: Kami no Puzzle,0.91451097,False
478,28621,Subete ga F ni Naru,0.9144672,False
478,10161,No.6,0.9130197,True
478,28223,Death Parade,0.895088,True
478,20689,Hamatora The Animation,0.88606566,False
478,8915,Dantalian no Shoka,0.88295615,False
478,23283,Zankyou no Terror,0.88208646,True
478,10588,Persona 4 the Animation,0.8729602,True
694,33,Kenpuu Denki Berserk,0.963592,False
694,28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",0.9623851,True
694,57,Beck,0.94426906,True
694,1691,Kaze no Stigma,0.91079456,False
694,7088,Ichiban Ushiro no Daimaou,0.9060057,True
694,23755,Nanatsu no Taizai,0.9050495,False
694,4177,Bounen no Xamdou,0.90229064,False
694,22535,Kiseijuu: Sei no Kakuritsu,0.8807816,False
694,11241,Brave 10,0.8653085,False
694,165,RahXephon,0.86202675,True
730,30276,One Punch Man,0.97674304,True
730,22535,Kiseijuu: Sei no Kakuritsu,0.9680035,True
730,38691,Dr. Stone,0.9636616,True
730,10110,Mayo Chiki!,0.94477373,True
730,33206,Kobayashi-san Chi no Maid Dragon,0.94140273,True
730,37675,Overlord III,0.93885714,True
730,20031,D-Frag!,0.93793076,True
730,14967,Boku wa Tomodachi ga Sukunai Next,0.92400885,True
730,11633,Blood Lad,0.91532373,True
730,24833,Ansatsu Kyoushitsu,0.9066002,False
781,6945,Gintama: Shiroyasha Koutan,0.9486696,True
781,24365,Tonari no Seki-kun Specials,0.94119483,True
781,33255,Saiki Kusuo no Ψ-nan,0.91083795,True
781,16742,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,0.87731516,False
781,11843,Danshi Koukousei no Nichijou,0.8768254,True
781,32491,Kanojo to Kanojo no Neko: Everything Flows,0.8638643,False
781,9756,Mahou Shoujo Madoka★Magica,0.8567837,False
781,31772,One Punch Man Specials,0.85261476,True
781,36317,Gaikotsu Shotenin Honda-san,0.8451733,False
781,1004,Kanojo to Kanojo no Neko,0.8448577,False
853,5114,Fullmetal Alchemist: Brotherhood,0.99775034,True
853,1468,Baoh Raihousha,0.95766073,True
853,4039,Golgo 13 (TV),0.95327485,False
853,44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,0.9454314,True
